place_id,name,rating,user_ratings_total,category,rating_rank
ChIJ2UXCQAAXQjER8xI6j89lZ5Y,"N9NE BILLIARDS CLUB - POOL & LIBRE",5.0,424,"'Sports club'",1
ChIJIZoZCgAZQjERpGAIqWPYbZo,"DLT Billiards Club",5.0,3,"'Sports club'",2
ChIJwZx0KwAZQjER2amruBxtBro,"Alpes Billiards Club",5.0,22,"'Sports club'",3
ChIJwbFJLMQZQjER7XxLJhl43_w,"Billiard No.957",5.0,2,"'Sports club'",4
ChIJYek03X0ZQjERQbmXAmOLygM,"VYAN Billiards Club",5.0,2,"'Sports club'",4
ChIJ686Bl5QXQjERESUxtIy08cs,"BIDA XÙ",4.9,17,"'Sports club'",6
ChIJ87YekLYZQjERjLzWlmXO22s,"TNT Billiards Club",4.8,8,"'Sports club'",7
ChIJo_dgV-IXQjERKojNz9xfyPs,"Billiards Club 68 - Đỗ Bá",4.5,28,"'Sports club'",8
ChIJHyrjsUsZQjERPuZIKa_ciDM,"Billiards Hùng Núi",4.5,2,"'Sports club'",9
ChIJZ96U5dcZQjERc-0E5fGPZ7w,"BADI Billiards Club- Câu lạc bộ bida chuyên nghiệp, sang trọng tại Đà Nẵng",4.5,10,"'Sports club'",10
ChIJGcg-CKcZQjERiyke92g13Ls,"Clb billiard 199",4.3,3,"'Sports club'",11
ChIJPwzxrh8ZQjER7dVjAwmc00k,"SV Pool Billiard - 202 Trần Hưng Đạo",4.3,26,"'Sports club'",12
ChIJ-wkhA30ZQjERhtInWM4ziy8,"Bida Min",4.2,42,"'Sports club'",13
ChIJR5GKdAAZQjERNXPlLYmDlEM,"Peri Pool Arena Đà Nẵng",4.2,372,"'Sports club'",14
ChIJE3mMSUUXQjERysqtr3--cB0,"Billiards Club 68 - Hà Bổng",4.0,9,"'Sports club'",15
ChIJVUVl3PoXQjERc4Oov38NqEY,"Billiards 68 - Bida Club",3.9,37,"'Sports club'",16
ChIJxTEmqgoXQjERbtDfUgD6kB8,"RÙA Billiards",3.9,10,"'Sports club'",17
ChIJtZTqpxEZQjERBB5jdU-8Ze0,"Hoàng Long Billard",3.2,9,"'Sports club'",18
ChIJbwAAiYsZQjERP0d39kKFKio,"Hứa - Billiards & Coffee",3.1,7,"'Sports club'",19
ChIJjR3UjD4ZQjERqkxLkYTr4wU,"Speed bowl",3.0,57,"'Sports club'",20
ChIJjeNuWQAZQjERd2w4JRRhCBU,"Billiard Đỗ Nhân",0.0,0,"'Sports club'",21
ChIJA2xXLuwXQjERXS7hrbe2B0E,"CLB Bida Bắc Mỹ An- Đặc sản Đà Thành",4.8,13,"'Sports club', 'Adult entertainment club'",1
ChIJV4yRoggZQjERp0oEBe9HVU4,"MR.T BILLIARDS - BIDA ĐÀ NẴNG",4.6,17,"'Sports club', 'Table tennis club'",1
ChIJfVHySj4ZQjERC5YRJ1Qw2nA,"Zion Billiards",4.9,42,"'Supermarket'",1
ChIJRQIvVQAZQjER0_bFT5ahPg4,"CLB BÓNG BÀN ĐA PHƯỚC",4.8,16,"'Table tennis club', 'Sports club'",1
ChIJYfxazKwZQjERstDmYuXeQoE,"Bida Quý - TỔNG ĐẠI LÝ BILLIARDS MIỀN TRUNG",3.8,17,"'Wholesaler', 'Outlet mall'",1
